CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,57,86,24,365,1095,80,200
2,30,58,14,445,1142,78,200
3,91,16,28,991,1438,83,200
4,29,92,21,546,1440,73,200
5,31,52,24,349,1276,81,200
6,31,44,19,28,860,75,200
7,22,97,16,27,519,82,200
8,21,1,34,372,844,81,200
9,84,62,23,829,1387,83,200
10,23,22,14,998,1440,81,200
11,80,0,14,456,1370,75,200
12,36,80,15,587,1153,79,200
13,81,79,14,836,1429,83,200
14,4,7,18,494,1070,80,200
15,8,11,21,605,1096,78,200
16,85,72,17,919,1440,81,200
17,88,78,26,943,1440,83,200
18,23,42,30,358,1147,77,200
19,75,44,24,622,1314,84,200
20,63,29,8,240,874,81,200
21,87,85,18,700,1440,79,200
22,93,66,18,155,951,82,200
23,17,8,16,142,782,82,200
24,27,48,19,365,1038,81,200
25,50,21,23,806,1440,77,200
26,95,61,15,161,737,76,200
27,80,77,17,255,965,83,200
28,41,10,16,956,1342,78,200
29,41,81,8,373,887,81,200
30,51,9,18,496,1097,74,200
31,14,36,21,775,1405,80,200
32,7,54,14,62,679,85,200
33,12,96,22,714,1440,84,200
34,34,35,10,66,505,80,200
35,55,19,15,787,1440,76,200
36,80,22,29,59,533,77,200
37,75,24,21,58,721,78,200
38,1,99,14,399,976,75,200
39,61,11,9,203,551,83,200
40,76,42,22,926,1440,72,200
41,56,37,19,22,528,80,200
42,61,60,25,76,675,80,200
43,15,1,24,889,1440,81,200
44,70,25,13,243,773,78,200
45,81,36,27,855,1440,74,200
46,91,94,33,294,1075,77,200
47,60,11,25,534,972,83,200
48,13,87,11,490,1262,81,200
49,51,69,10,94,747,77,200
50,11,15,11,862,1376,74,200
51,59,41,40,500,1239,80,200
52,43,44,24,965,1440,83,200
53,75,79,28,868,1440,84,200
54,60,22,20,735,1174,80,200
55,52,90,28,447,1440,82,200
56,23,71,23,232,962,80,200
57,59,7,12,419,1304,81,200
58,75,42,27,867,1440,75,200
59,28,53,26,879,1440,79,200
60,16,81,16,370,963,79,200
61,20,37,14,51,747,81,200
62,25,91,9,647,1432,82,200
63,92,21,18,439,1028,78,200
64,32,67,22,585,1239,78,200
65,14,84,17,452,1241,85,200
66,2,20,15,835,1440,76,200
67,65,88,19,535,1056,79,200
68,41,93,27,41,703,76,200
69,58,88,22,9,645,73,200
70,18,23,27,475,670,80,200
71,95,25,17,316,1054,79,200
72,2,47,10,827,1440,84,200
73,13,83,13,1042,1440,78,200
74,25,89,8,504,1156,81,200
75,91,79,20,458,1145,85,200
76,0,87,16,698,1421,74,200
77,7,1,14,644,1258,81,200
78,37,10,8,16,539,78,200
79,39,72,25,406,756,79,200
80,90,82,33,61,698,80,200
81,29,25,22,584,1211,85,200
82,39,57,29,421,1162,83,200
83,3,79,17,329,1262,80,200
84,24,74,13,1007,1440,84,200
85,11,79,22,650,1325,82,200
86,94,46,21,243,709,82,200
87,81,94,20,205,1125,80,200
88,100,69,26,461,1024,75,200
89,79,37,39,282,714,85,200
90,35,0,12,613,1002,79,200
91,13,48,14,88,580,84,200
92,56,41,8,594,1440,87,200
93,77,72,20,56,710,80,200
94,74,2,19,616,1359,81,200
95,82,89,24,69,819,72,200
96,11,78,19,405,1134,81,200
97,89,1,19,137,885,84,200
98,34,95,32,566,1062,73,200
99,86,48,24,1015,1440,78,200
100,76,2,14,614,1100,79,200
101,23,0,21,483,832,78,200
102,86,51,23,855,1385,83,200
103,14,31,24,402,1090,81,200
104,85,59,20,973,1440,79,200
105,53,31,21,764,1440,85,200
106,8,7,21,856,1440,82,200
107,88,60,9,857,1404,85,200
108,10,87,30,541,1066,77,200
109,77,0,18,819,1440,77,200
110,72,56,22,830,1440,80,200
111,97,41,30,77,403,74,200
112,5,89,9,952,1440,85,200
113,90,69,17,358,942,81,200
114,4,100,34,327,946,80,200
115,98,17,34,1026,1440,75,200
116,64,69,42,97,697,77,200
117,62,100,18,991,1429,83,200
118,45,36,15,349,1278,78,200
119,35,86,12,851,1440,79,200
120,4,52,26,840,1440,76,200
121,56,45,24,686,1373,79,200
122,85,53,11,346,977,77,200
123,5,45,13,506,1085,77,200
124,29,25,20,601,1236,78,200
125,26,56,14,454,1143,83,200
126,51,1,13,887,1440,83,200
127,40,4,33,311,1070,80,200
128,59,24,21,326,1019,76,200
129,94,58,20,342,974,82,200
130,39,59,25,130,676,80,200
131,58,84,19,41,762,79,200
132,30,34,18,337,1254,79,200
133,5,99,24,66,738,76,200
134,75,59,13,571,1275,75,200
135,19,30,8,1036,1440,82,200
136,56,79,12,456,1172,77,200
137,43,35,22,443,1135,81,200
138,90,80,19,974,1440,78,200
139,97,12,28,734,1440,79,200
140,99,90,18,360,1269,79,200
141,43,78,16,516,1291,77,200
142,16,92,29,702,1235,81,200
143,58,2,11,905,1428,83,200
144,32,97,24,805,1384,79,200
145,60,48,14,382,1094,82,200
146,3,3,27,281,942,77,200
147,46,7,25,1012,1440,77,200
148,41,55,22,322,979,77,200
149,96,41,16,308,919,77,200
150,68,45,24,663,1388,77,200
151,13,61,20,500,1266,79,200
152,100,23,33,208,850,81,200
153,53,8,22,717,1354,83,200
154,78,54,8,898,1436,81,200
155,35,89,22,132,515,73,200
156,83,38,36,267,1064,81,200
157,31,7,9,910,1440,80,200
158,20,49,13,246,981,75,200
159,60,83,13,935,1440,80,200
160,14,0,11,326,1222,76,200
161,7,48,24,456,1221,80,200
162,57,0,21,146,539,80,200
163,99,55,20,515,1265,82,200
164,27,89,35,755,1440,77,200
165,20,14,18,239,1080,78,200
166,2,2,21,545,1018,76,200
167,66,55,26,360,860,80,200
168,57,32,25,701,1440,78,200
169,97,31,21,732,1409,78,200
170,48,100,12,305,895,82,200
171,67,35,30,175,723,77,200
172,91,14,15,244,917,82,200
173,91,52,38,576,1165,78,200
174,57,15,27,912,1402,81,200
175,4,23,23,391,700,78,200
176,5,33,17,937,1440,80,200
177,8,86,10,42,339,84,200
178,60,11,15,756,1440,79,200
179,67,26,13,83,655,79,200
180,11,4,9,987,1440,79,200
181,70,19,12,1005,1440,78,200
182,26,98,33,234,952,81,200
183,40,84,26,197,1026,82,200
184,28,2,25,310,831,76,200
185,71,48,10,923,1440,81,200
186,15,29,21,442,977,83,200
187,81,77,19,779,1430,78,200
188,74,22,28,203,983,81,200
189,54,36,17,310,1235,75,200
190,82,65,21,1038,1440,82,200
191,71,11,16,365,994,78,200
192,7,99,20,656,1211,74,200
193,21,24,27,695,1288,80,200
194,80,69,21,91,467,79,200
195,55,53,24,911,1372,79,200
196,35,18,23,597,942,79,200
197,63,42,28,961,1440,80,200
198,61,0,25,641,1394,78,200
199,72,83,36,285,801,79,200
200,65,16,15,197,751,77,200
201,21,5,35,810,1379,83,200
202,74,6,8,307,976,84,200
203,86,62,15,811,1440,79,200
204,84,87,25,985,1440,78,200
205,47,16,8,540,1219,79,200
206,73,62,19,993,1440,77,200
207,36,53,9,703,1438,84,200
208,25,54,11,198,939,79,200
209,72,91,19,524,1403,84,200
210,67,98,13,364,737,82,200
211,49,78,34,845,1440,81,200
212,40,100,15,999,1440,76,200
213,38,29,21,910,1263,80,200
214,11,18,10,451,1111,78,200
215,37,94,38,537,970,77,200
216,91,100,15,937,1307,80,200
217,11,67,15,942,1440,78,200
218,79,87,19,132,769,84,200
219,6,45,32,352,1185,82,200
220,95,54,23,945,1440,83,200
221,21,91,10,638,1292,80,200
222,30,58,20,259,1216,79,200
223,99,18,15,518,1232,78,200
224,25,8,16,869,1440,81,200
225,10,10,12,867,1440,80,200
226,19,35,16,686,1195,85,200
227,36,2,25,116,1051,78,200
228,99,40,23,553,808,72,200
229,12,66,26,742,1440,83,200
230,61,76,36,1044,1416,76,200
231,61,65,40,880,1440,76,200
232,49,66,20,984,1440,82,200
233,88,44,18,399,894,76,200
234,86,85,25,515,821,83,200
235,62,44,18,426,1178,80,200
236,16,20,18,178,1084,81,200
237,1,60,21,934,1440,79,200
238,66,34,24,922,1440,79,200
239,6,89,16,567,968,77,200
240,17,45,11,182,1127,83,200
241,11,4,38,108,841,79,200
242,100,15,20,323,1125,81,200
243,98,86,9,804,1391,83,200
244,96,93,30,757,1440,82,200
245,87,56,9,151,750,74,200
246,43,91,8,246,644,80,200
247,47,68,33,49,738,82,200
248,34,73,28,820,1260,81,200
249,95,40,22,378,1340,79,200
250,99,6,25,957,1440,78,200
251,99,50,29,1032,1440,76,200
252,43,60,17,304,1182,78,200
253,94,76,13,621,917,81,200
254,28,10,9,161,717,80,200
255,0,87,29,151,908,80,200
256,72,57,33,323,1051,77,200
257,24,43,14,960,1440,80,200
258,78,100,21,231,1178,76,200
259,8,80,19,171,874,81,200
260,76,62,22,842,1175,80,200
261,52,45,11,216,818,84,200
262,29,59,17,568,859,81,200
263,23,87,25,354,944,73,200
264,65,46,22,453,1094,76,200
265,13,17,15,1028,1440,76,200
266,87,97,9,125,574,78,200
267,46,83,21,72,494,79,200
268,38,65,25,616,1276,79,200
269,9,7,18,883,1440,76,200
270,76,99,31,304,1084,75,200
271,54,16,32,486,1261,75,200
272,12,96,19,394,927,79,200
273,89,56,25,773,1440,72,200
274,39,44,24,209,892,85,200
275,2,61,27,978,1440,76,200
276,31,3,37,704,1203,78,200
277,31,76,13,661,1421,81,200
278,15,12,23,401,957,78,200
279,76,67,21,564,1331,79,200
280,51,69,19,386,1021,79,200
281,45,95,25,286,649,77,200
282,21,25,23,762,1285,80,200
283,71,87,8,840,1440,79,200
284,65,44,16,42,758,83,200
285,12,52,27,372,1115,80,200
286,48,40,23,801,1363,80,200
287,12,93,24,319,928,79,200
288,79,100,27,825,1399,81,200
289,31,57,18,752,1429,87,200
290,14,52,19,757,1189,81,200
291,28,55,29,7,550,79,200
292,52,51,9,541,1383,80,200
293,17,58,23,223,725,82,200
294,89,50,14,247,1052,79,200
295,83,70,24,560,1140,77,200
296,29,94,10,980,1440,78,200
297,70,24,21,734,1375,82,200
298,72,31,17,493,1038,79,200
299,66,38,14,177,794,77,200
300,35,32,24,773,1440,79,200
301,83,54,40,395,1097,82,200
302,88,26,17,22,879,78,200
303,21,98,14,359,1159,78,200
304,4,48,13,124,929,80,200
305,45,37,14,862,1440,83,200
306,83,94,30,723,1301,79,200
307,5,52,26,191,809,79,200
308,81,48,27,631,1440,80,200
309,34,66,23,584,1175,77,200
310,81,36,34,495,1123,80,200
311,7,98,22,577,1385,83,200
312,99,73,24,347,1279,89,200
313,23,15,11,324,1146,83,200
314,35,91,37,104,925,77,200
315,25,23,16,77,527,83,200
316,94,81,18,969,1440,79,200
317,98,83,15,177,721,83,200
318,37,69,8,826,1440,83,200
319,63,96,27,798,1440,79,200
320,47,64,14,693,1370,76,200
321,90,39,17,587,1100,76,200
322,75,11,10,206,1045,81,200
323,66,55,30,635,1332,80,200
324,8,74,21,627,1086,82,200
325,77,63,16,707,1440,79,200
326,32,76,31,861,1440,72,200
327,45,32,24,873,1440,77,200
328,32,42,21,874,1440,82,200
329,28,32,17,998,1414,78,200
330,97,79,25,621,1005,79,200
331,22,66,22,651,1348,80,200
332,0,41,12,433,1116,77,200
333,67,99,19,559,1388,74,200
334,5,27,13,192,754,82,200
335,85,68,18,999,1383,83,200
336,45,17,35,352,727,77,200
337,51,2,28,95,541,75,200
338,7,69,20,956,1440,77,200
339,79,44,15,751,1440,76,200
340,50,86,17,382,1378,78,200
341,7,27,23,838,1440,80,200
342,80,67,8,261,1096,81,200
343,94,90,18,286,1100,80,200
344,1,46,16,393,853,80,200
345,97,2,12,981,1440,82,200
346,47,24,18,843,1440,80,200
347,29,82,39,633,1040,79,200
348,60,61,32,922,1309,79,200
349,51,50,19,1050,1440,81,200
350,17,79,21,274,1164,78,200
351,27,92,17,281,865,81,200
352,23,76,24,25,903,80,200
353,74,26,24,168,897,81,200
354,93,59,17,328,1169,78,200
355,98,9,27,769,1440,74,200
356,93,45,29,194,964,76,200
357,95,57,12,666,1435,80,200
358,97,81,26,977,1440,81,200
359,98,69,23,1034,1440,80,200
360,95,98,16,127,970,71,200
361,47,86,28,685,1273,77,200
362,84,7,19,880,1418,85,200
363,7,67,27,1009,1440,76,200
364,68,55,15,633,1223,76,200
365,62,77,15,159,1001,80,200
366,94,61,16,428,1229,81,200
367,15,68,17,1002,1179,82,200
368,85,30,21,369,931,79,200
369,49,53,24,87,590,78,200
370,15,98,33,340,1222,85,200
371,9,13,14,1017,1407,80,200
372,26,10,23,942,1440,77,200
373,22,75,9,288,1108,80,200
374,18,11,20,906,1440,81,200
375,55,52,24,583,968,77,200
376,61,2,27,159,788,81,200
377,94,47,33,1024,1440,77,200
378,34,98,37,623,1440,77,200
379,68,60,21,500,1247,71,200
380,93,97,28,475,1037,75,200
381,69,33,31,867,1440,82,200
382,15,28,35,446,1279,81,200
383,90,38,28,911,1440,80,200
384,12,29,16,145,668,80,200
385,87,16,35,923,1440,81,200
386,12,50,17,679,1377,81,200
387,40,38,33,582,1304,81,200
388,88,88,24,1012,1440,80,200
389,45,23,15,415,1140,82,200
390,31,6,20,526,1118,76,200
391,32,6,16,11,633,83,200
392,67,76,9,1022,1440,82,200
393,5,96,26,705,1440,79,200
394,46,89,11,105,466,77,200
395,5,97,31,598,1113,80,200
396,89,92,24,878,1440,81,200
397,66,72,20,453,1109,82,200
398,26,34,25,883,1440,83,200
399,1,36,13,537,937,82,200
400,95,41,28,874,1440,80,200
401,26,42,25,129,511,80,200
402,71,80,24,937,1428,82,200
403,81,72,32,945,1440,81,200
404,86,46,13,758,1353,73,200
405,26,24,11,860,1440,75,200
406,59,47,22,662,1335,79,200
407,64,51,16,502,1146,75,200
408,25,37,17,396,1149,83,200
409,31,87,13,392,1098,82,200
410,58,60,18,545,1126,77,200
411,24,35,39,281,833,80,200
412,99,41,29,582,1406,81,200
413,33,73,11,833,1121,81,200
414,29,3,23,74,912,82,200
415,90,45,16,734,1147,76,200
416,1,78,31,274,739,81,200
417,90,32,26,346,963,80,200
418,41,67,32,105,879,81,200
419,9,24,33,25,850,78,200
420,21,45,14,414,1103,78,200
421,91,52,22,351,1331,78,200
422,14,53,35,81,1049,81,200
423,64,58,25,761,1150,78,200
424,97,97,11,1036,1420,79,200
425,61,14,17,512,863,82,200
426,98,52,10,993,1440,78,200
427,29,39,22,1037,1440,81,200
428,38,78,24,139,650,78,200
429,22,19,19,185,876,77,200
430,4,89,38,893,1440,75,200
431,81,68,8,689,1440,78,200
432,66,60,33,257,879,76,200
433,66,15,41,774,1440,78,200
434,8,99,35,225,1005,77,200
435,62,38,20,535,1043,80,200
436,15,96,18,763,1440,86,200
437,100,89,17,804,1440,80,200
438,5,96,14,12,474,82,200
439,10,61,12,993,1366,77,200
440,57,54,27,417,1073,76,200
441,66,42,18,444,1132,77,200
442,71,20,40,268,980,80,200
443,21,63,29,397,1054,77,200
444,16,78,11,13,598,78,200
445,80,43,20,209,1031,81,200
446,46,24,13,846,1440,76,200
