,CUSTOMER_CODE_FROM,CUSTOMER_CODE_TO,DISTANCE_KM,TIME_DISTANCE_MIN, 
0,138642,138642,0.0,0.0, 
1,138642,1080,125.441,129.283, 
2,138642,138315,115.964,121.792, 
3,138642,587,136.983,142.802, 
4,138642,921607,136.654,142.417, 
5,138642,135890,136.813,142.615, 
6,138642,138089,116.606,121.363, 
7,138642,140114,202.248,206.459, 
8,138642,12632,212.447,230.461, 
9,138642,920597,143.445,151.756, 
10,138642,142817,115.529,121.242, 
11,138642,920532,3.808,5.324, 
12,138642,923922,0.426,0.66, 
13,138642,352,111.726,114.642, 
14,138642,924068,2.771,4.169, 
15,138642,137731,112.865,116.039, 
16,138642,920120,0.668,1.716, 
17,138642,138643,0.51,0.825, 
18,138642,920105,43.765,45.661, 
19,138642,922636,107.09,109.824, 
20,138642,142550,210.859,227.623, 
21,138642,141004,114.805,117.931, 
22,138642,923163,140.459,146.289, 
23,138642,15020,116.261,122.144, 
24,138642,15021,116.168,121.627, 
25,138642,15026,124.6,128.216, 
26,138642,144810,1.043,1.771, 
27,138642,136088,115.568,121.374, 
28,138642,136174,140.457,146.289, 
29,138642,921615,202.819,207.295, 
30,138642,920284,210.547,217.921, 
31,138642,9,152.386,155.419, 
32,138642,144284,155.61,159.874, 
33,138642,144285,153.828,157.454, 
34,138642,7572,111.983,115.148, 
35,138642,586,154.569,157.63, 
36,138642,137599,1.405,1.969, 
37,138642,137634,114.991,120.043, 
38,138642,138929,2.793,3.916, 
39,138642,921090,1.089,1.925, 
40,138642,142832,1.13,1.683, 
41,138642,142873,1.528,1.958, 
42,138642,139925,153.474,156.519, 
43,138642,133537,111.995,114.895, 
44,138642,141516,143.134,150.997, 
45,138642,136885,137.019,142.824, 
46,138642,10825,112.945,115.907, 
47,138642,10564,4.239,5.962, 
48,138642,320,208.039,215.424, 
49,138642,143063,121.261,132.517, 
50,138642,1619,153.539,156.684, 
51,138642,7585,210.355,218.383, 
52,138642,1973,153.215,156.266, 
53,138642,742,136.959,142.868, 
54,138642,740,137.021,142.956, 
55,138642,7525,124.156,127.699, 
56,138642,15202,124.945,128.733, 
57,138642,15206,118.183,122.925, 
58,138642,15209,141.934,148.247, 
59,138642,15247,115.766,121.363, 
60,138642,15249,116.147,121.858, 
61,138642,15250,117.958,122.078, 
62,138642,15251,117.145,123.86, 
63,138642,15252,125.89,128.513, 
64,138642,15253,116.777,123.013, 
65,138642,15328,116.086,121.726, 
66,138642,139007,115.591,121.451, 
67,138642,1031,1.087,1.804, 
68,138642,145260,1.054,1.804, 
69,138642,922087,43.585,45.672, 
70,138642,923817,120.432,123.717, 
71,138642,1709,111.912,115.071, 
72,138642,15189,142.919,150.414, 
73,138642,921523,126.478,132.077, 
74,138642,920497,142.273,148.995, 
75,138642,920118,136.666,142.417, 
76,138642,923033,124.162,129.789, 
77,138642,142634,117.5,121.077, 
78,138642,923731,136.619,142.373, 
79,138642,360,137.298,143.121, 
80,138642,990,114.253,117.414, 
81,138642,140883,2.036,2.42, 
82,138642,1487,121.245,124.707, 
83,138642,136298,134.272,140.47, 
84,138642,923132,107.472,123.332, 
85,138642,131242,126.21,131.802, 
86,138642,131246,121.816,125.158, 
87,138642,139984,137.707,143.473, 
88,138642,923634,204.237,208.725, 
89,138642,1346,128.105,133.606, 
90,138642,133290,116.231,122.045, 
91,138642,142977,210.205,226.776, 
92,138642,920241,18.127,18.755, 
93,138642,138840,210.995,227.766, 
94,138642,922508,210.033,226.765, 
95,138642,142177,151.98,155.386, 
96,138642,144550,1.142,1.617, 
97,138642,138579,111.99,115.148, 
98,138642,139927,152.635,155.672, 
99,138642,920324,1.164,1.947, 
100,138642,142811,18.694,19.415, 
101,138642,142263,18.748,19.448, 
102,138642,307,142.832,150.227, 
103,138642,760,113.158,130.735, 
104,138642,136524,117.344,120.714, 
105,138642,136525,121.458,132.957, 
106,138642,137380,1.307,2.046, 
107,138642,921969,122.183,125.675, 
108,138642,1007,1.097,1.562, 
109,138642,920208,211.496,218.713, 
110,138642,139814,107.841,123.706, 
111,138642,1886,137.558,143.484, 
112,138642,1078,125.964,129.8, 
113,138642,141650,210.902,218.977, 
114,138642,140975,111.101,114.246, 
115,138642,142178,151.205,154.616, 
116,138642,921561,132.937,135.663, 
117,138642,143271,152.829,156.321, 
118,138642,137667,202.241,206.459, 
119,138642,137662,210.478,217.734, 
120,138642,137663,153.071,156.266, 
121,138642,136297,115.069,118.305, 
122,138642,139709,106.883,122.738, 
123,138642,1938,152.761,155.804, 
124,138642,1805,124.08,127.479, 
125,138642,992,210.962,219.153, 
126,138642,921453,210.272,217.591, 
127,138642,138343,210.307,217.668, 
128,138642,139129,209.631,216.92, 
129,138642,1173,112.822,116.358, 
130,1080,138642,124.889,129.745, 
131,1080,1080,0.0,0.0, 
132,1080,138315,20.311,21.428, 
133,1080,587,28.229,35.772, 
134,1080,921607,27.899,35.387, 
135,1080,135890,28.058,35.596, 
136,1080,138089,21.611,22.616, 
137,1080,140114,107.318,111.133, 
138,1080,12632,117.518,135.124, 
139,1080,920597,32.422,38.236, 
140,1080,142817,21.217,22.44, 
141,1080,920532,127.354,133.232, 
142,1080,923922,124.463,129.085, 
143,1080,352,19.678,20.548, 
144,1080,924068,126.317,132.077, 
145,1080,137731,23.664,27.313, 
146,1080,920120,125.101,130.68, 
147,1080,138643,124.477,129.14, 
148,1080,920105,80.771,83.578, 
149,1080,922636,29.131,32.516, 
150,1080,142550,115.929,132.286, 
151,1080,141004,10.557,11.275, 
152,1080,923163,29.436,32.769, 
153,1080,15020,20.866,22.231, 
154,1080,15021,20.288,21.219, 
155,1080,15026,1.329,1.804, 
156,1080,144810,125.01,130.086, 
157,1080,136088,21.256,22.561, 
158,1080,136174,29.434,32.769, 
159,1080,921615,107.89,111.958, 
