CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
0,50,50,0,0,1236,0,200
1,93,42,16,159,1115,77,200
2,41,1,39,927,1440,83,200
3,4,14,16,868,1440,80,200
4,31,21,30,471,857,76,200
5,89,81,32,907,1199,81,200
6,22,96,20,578,1151,80,200
7,49,59,25,770,1440,76,200
8,1,62,16,179,747,78,200
9,87,38,26,370,994,85,200
10,29,89,16,314,1001,77,200
11,33,64,19,431,1153,79,200
12,67,42,33,186,780,76,200
13,91,84,31,637,1393,81,200
14,50,83,17,1049,1440,81,200
15,23,89,30,276,996,75,200
16,35,10,17,42,610,77,200
17,36,71,10,760,1120,75,200
18,41,46,26,888,1264,79,200
19,36,45,11,564,1036,83,200
20,39,6,38,791,1440,74,200
21,17,26,11,55,833,79,200
22,3,31,21,377,939,82,200
23,87,21,23,913,1440,78,200
24,82,82,32,42,663,81,200
25,0,71,21,233,736,78,200
26,28,9,19,287,1040,79,200
27,57,38,22,745,985,78,200
28,75,65,32,16,877,78,200
29,67,82,12,128,789,81,200
30,74,79,39,588,936,80,200
31,70,46,22,276,695,83,200
32,45,27,9,350,1125,77,200
33,40,2,26,17,586,81,200
34,44,72,19,6,507,78,200
35,38,0,19,386,1103,83,200
36,66,32,31,102,739,82,200
37,38,82,13,212,834,82,200
38,64,18,20,975,1440,82,200
39,92,55,10,30,692,78,200
40,23,26,31,81,481,81,200
41,24,67,28,1049,1440,82,200
42,0,11,12,455,959,81,200
43,8,77,26,613,1179,77,200
44,68,61,26,940,1421,83,200
45,61,12,16,445,1132,78,200
46,96,8,23,673,1440,78,200
47,43,58,24,144,993,81,200
48,67,99,17,927,1440,79,200
49,91,28,25,611,1280,78,200
50,35,56,32,293,792,79,200
51,90,44,21,461,1223,78,200
52,48,40,20,715,1399,84,200
53,23,100,13,275,752,80,200
54,33,69,17,48,800,74,200
55,86,50,28,581,948,73,200
56,19,4,19,497,1177,79,200
57,83,8,28,450,1049,79,200
58,2,49,16,448,913,79,200
59,85,28,30,795,1426,79,200
60,5,81,29,505,1369,81,200
61,62,48,26,359,1059,82,200
62,46,21,33,198,754,77,200
63,91,86,26,649,1440,81,200
64,48,81,9,57,948,83,200
65,55,6,15,808,1440,82,200
66,0,18,10,117,919,75,200
67,27,53,34,567,1421,82,200
68,25,37,31,462,1326,82,200
69,65,1,20,181,802,74,200
70,31,21,22,7,603,79,200
71,45,36,10,957,1440,80,200
72,69,21,20,928,1337,80,200
73,13,22,18,590,1146,84,200
74,69,44,34,43,714,83,200
75,98,72,31,308,1157,76,200
76,70,84,25,291,1169,80,200
77,17,5,19,13,601,78,200
78,74,53,12,177,1019,74,200
79,97,52,14,879,1402,75,200
80,12,9,22,319,1231,88,200
81,40,42,24,478,862,81,200
82,40,11,25,795,1440,79,200
83,84,5,32,1001,1390,78,200
84,45,44,14,767,1282,76,200
85,26,77,10,97,869,79,200
86,56,92,17,765,1440,75,200
87,49,100,21,399,1100,80,200
88,75,31,20,895,1440,80,200
89,42,63,16,972,1440,83,200
90,32,79,17,762,1336,78,200
91,60,85,38,499,1388,79,200
92,39,98,21,450,1408,81,200
93,86,65,21,638,1083,80,200
94,24,25,27,897,1440,79,200
95,48,15,9,57,683,76,200
96,11,100,13,793,1384,80,200
97,35,3,8,641,1102,79,200
98,30,63,37,337,1426,77,200
99,47,48,31,294,1072,81,200
100,18,28,24,693,1240,79,200
