CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,68,60,15,697,1440,83,200
2,75,28,41,20,614,82,200
3,6,7,34,936,1434,83,200
4,17,25,24,222,1063,78,200
5,10,75,21,276,853,78,200
6,66,22,31,646,1395,82,200
7,29,7,17,814,1440,80,200
8,31,2,23,314,1065,81,200
9,97,33,23,788,1326,83,200
10,55,76,25,90,647,76,200
11,16,69,10,195,772,81,200
12,2,26,12,470,1343,81,200
13,100,16,18,833,1440,75,200
14,92,18,35,397,1085,76,200
15,93,76,20,784,1440,84,200
16,67,72,25,421,1017,78,200
17,68,36,40,258,935,82,200
18,5,56,18,919,1440,81,200
19,78,9,11,771,1440,78,200
20,71,41,24,462,904,83,200
